id,metodo,repeticao,tempo,distancia,alta_velocidade,balanceamento,parametro
pe_1927554880,epsilon-restrito,1,27.5,1725.6,89,12.32,1726.309365850005
pe_4016814355,epsilon-restrito,1,28.6,1448.2,33,20.44,496.55355694794105
pe_3998479150,epsilon-restrito,1,30.5,1437.5,26,22.36,244.60728980971172
pe_3118919890,epsilon-restrito,2,28.7,1410.6,43,23.9,264.8470964364974
pe_3982000075,epsilon-restrito,2,28.7,1469.5,34,24.71,249.06335162395277
pe_566826950,epsilon-restrito,3,28.7,1405.8,25,25.69,386.2994882053963
pe_589439845,epsilon-restrito,3,27.9,1451.4,55,19.75,912.4927801111164
pe_4252820720,epsilon-restrito,4,29.2,1525.8,48,21.12,44.802453917733466
pe_470784595,epsilon-restrito,4,28.8,1802.9,79,9.23,1806.524701246404
pe_1361042975,epsilon-restrito,4,29.4,1453.3,34,21.85,514.8625721412858
pe_1245464915,epsilon-restrito,4,29.4,1441.7,23,24.87,115.39209971009504
pe_692464485,epsilon-restrito,4,29.3,1453.9,25,25.25,556.7286735182745
pe_3157881050,epsilon-restrito,5,28.4,1410.4,32,26.69,455.1129215462514
pw_4009053830,soma-ponderada,1,27.8,1504.5,29,19.59,0.0974416092522042
pw_2256233155,soma-ponderada,1,30.0,1453.0,10,22.6,0.12992551199611
pw_917330190,soma-ponderada,1,29.7,1478.0,25,22.94,0.0492453853542804
pw_3519753715,soma-ponderada,1,29.7,1478.4,20,24.21,0.0236558718488182
pw_343576015,soma-ponderada,1,27.3,1564.4,65,18.05,0.1327702029753231
pw_422791300,soma-ponderada,1,27.5,1547.9,48,19.26,0.1693814788695363
pw_4114543940,soma-ponderada,1,26.8,1600.1,57,15.45,0.2592571528258556
pw_2370499670,soma-ponderada,2,26.6,1510.7,74,18.65,0.2142234180536113
pw_1964646950,soma-ponderada,2,29.5,1451.6,26,24.9,0.0434922727568078
pw_14445100,soma-ponderada,2,29.3,1481.0,34,24.87,0.0415343725066753
pw_3421099280,soma-ponderada,2,27.2,1484.2,36,21.89,0.033071692153994
pw_733459345,soma-ponderada,3,28.2,1500.5,39,23.43,0.1793842717751212
pw_3494684625,soma-ponderada,3,31.2,1499.6,24,22.18,0.0504253912421772
pw_1846089325,soma-ponderada,3,29.0,1500.1,27,20.15,0.1283968076041659
pw_1929909555,soma-ponderada,3,27.8,1569.7,62,19.53,0.2007464700393203
pw_934398025,soma-ponderada,3,27.9,1557.8,49,22.33,0.2594264002985249
pw_3697965950,soma-ponderada,3,27.2,1687.4,78,14.29,0.365167450182554
pw_4002615780,soma-ponderada,3,27.6,1601.4,58,20.74,0.2682653691769076
pw_2670724850,soma-ponderada,4,26.7,1550.4,83,14.3,0.3098954452559949
pw_3270801105,soma-ponderada,4,26.8,1506.0,57,22.86,0.175103570504603
pw_3049399490,soma-ponderada,4,27.5,1440.7,31,23.86,0.142768872957256
pw_2455548550,soma-ponderada,5,29.5,1482.3,41,21.51,0.1874810218958824
pw_414955215,soma-ponderada,5,26.9,1668.4,69,15.26,0.3330097135074318
pw_3616227340,soma-ponderada,5,29.2,1498.3,39,17.53,0.057424273040819
pw_869130810,soma-ponderada,5,29.5,1470.4,11,22.12,0.0765788575994983
pw_1089306830,soma-ponderada,5,30.3,1461.0,11,23.63,0.0322076184279892
pw_126108585,soma-ponderada,5,27.4,1506.0,54,24.17,0.1148620518788429
pw_2599843790,soma-ponderada,5,29.5,1494.6,41,20.61,0.0797626151971157
pw_628818625,soma-ponderada,5,26.7,1775.7,101,9.41,0.5589839448118967
pw_3634258720,soma-ponderada,5,27.3,1516.6,53,19.81,0.2305852983929749
