id,metodo,repeticao,tempo,distancia,alta_velocidade,balanceamento,parametro,Score_AHP,Rank_AHP,Score_TOPSIS,Rank_TOPSIS,Equilibrio
pe_1927554880,epsilon-restrito,1,27.5,1725.6,89,12.32,1726.309365850005,0.5014363371446933,18.0,0.23534728568016347,19.0,0.42560389950469907
pw_2256233155,soma-ponderada,1,30.0,1453.0,10,22.6,0.12992551199611,0.4968621065047522,17.0,0.8031588623747581,1.0,0.4297804193887589
pw_3270801105,soma-ponderada,4,26.8,1506.0,57,22.86,0.175103570504603,0.2293627205103716,3.0,0.513372245913466,12.0,0.42939914011056796
pe_3157881050,epsilon-restrito,5,28.4,1410.4,32,26.69,455.1129215462514,0.32382458114860074,9.0,0.7160527433517307,7.0,0.4322826506953843
pw_2670724850,soma-ponderada,4,26.7,1550.4,83,14.3,0.3098954452559949,0.2718092749955107,4.0,0.31314700205188617,17.0,0.4257259952030901
pw_3616227340,soma-ponderada,5,29.2,1498.3,39,17.53,0.057424273040819,0.4700159929974759,16.0,0.6598801968432463,8.0,0.4298130392862024
pe_470784595,epsilon-restrito,4,28.8,1802.9,79,9.23,1806.524701246404,0.6886229164871394,20.0,0.28238846935275214,18.0,0.4260597433707878
pw_4009053830,soma-ponderada,1,27.8,1504.5,29,19.59,0.0974416092522042,0.28720994715747233,6.0,0.7671908638553053,2.0,0.43130688255222527
pw_414955215,soma-ponderada,5,26.9,1668.4,69,15.26,0.3330097135074318,0.35631217955827654,11.0,0.3957019846178705,15.0,0.42747538431348575
pw_343576015,soma-ponderada,1,27.3,1564.4,65,18.05,0.1327702029753231,0.33327760107051374,10.0,0.4339637454017805,14.0,0.42791809473567927
pw_628818625,soma-ponderada,5,26.7,1775.7,101,9.41,0.5589839448118967,0.45163618183840465,15.0,0.22247629062741406,20.0,0.42456244108549335
pe_589439845,epsilon-restrito,3,27.9,1451.4,55,19.75,912.4927801111164,0.313422684270967,7.0,0.5307529414046893,11.0,0.428734056945871
pw_3049399490,soma-ponderada,4,27.5,1440.7,31,23.86,0.142768872957256,0.22222651901368368,1.0,0.7454006557257221,4.0,0.43191818755962624
pe_692464485,epsilon-restrito,4,29.3,1453.9,25,25.25,556.7286735182745,0.4484026306943671,14.0,0.7511990177835612,3.0,0.4325547415776741
pe_4016814355,epsilon-restrito,1,28.6,1448.2,33,20.44,496.55355694794105,0.3573289187563135,12.0,0.7222367164742237,6.0,0.4309295993589485
pw_2370499670,soma-ponderada,2,26.6,1510.7,74,18.65,0.2142234180536113,0.22753905140566638,2.0,0.377753602958538,16.0,0.4271247346780661
pe_3998479150,epsilon-restrito,1,30.5,1437.5,26,22.36,244.60728980971172,0.5786980755172717,19.0,0.7241678001837208,5.0,0.431816004465716
pw_4114543940,soma-ponderada,1,26.8,1600.1,57,15.45,0.2592571528258556,0.27231728912635944,5.0,0.51242171137326,13.0,0.428301535097744
pe_3118919890,epsilon-restrito,2,28.7,1410.6,43,23.9,264.8470964364974,0.3738600613726718,13.0,0.6268806500754004,9.0,0.43055483177846726
pw_422791300,soma-ponderada,1,27.5,1547.9,48,19.26,0.1693814788695363,0.31698102094814806,8.0,0.5900311209443967,10.0,0.42957552002659505
