id,metodo,repeticao,tempo,distancia,velocidade,balanceamento,parametro,Score_AHP,Rank_AHP,Score_TOPSIS,Rank_TOPSIS,Equilibrio
pe_1927554880,epsilon-restrito,1,27.5,1725.6,40,12.32,1726.309365850005,0.40488971374373345,11.0,0.692726332449861,5.0,0.4294400127822279
pe_3998479150,epsilon-restrito,1,30.5,1437.5,106,22.36,244.60728980971172,0.693576719489862,20.0,0.24129373978746052,20.0,0.4242778800812606
pw_3049399490,soma-ponderada,4,27.5,1440.7,67,23.86,0.142768872957256,0.27892603269489163,6.0,0.5072149746412812,9.0,0.42841352166038665
pw_2670724850,soma-ponderada,4,26.7,1550.4,73,14.3,0.3098954452559949,0.2555374246533092,4.0,0.4667907495509713,10.0,0.4265696962471999
pw_3616227340,soma-ponderada,5,29.2,1498.3,84,17.53,0.057424273040819,0.530332098803581,17.0,0.34534301993948346,16.0,0.4257334936163388
pe_3118919890,epsilon-restrito,2,28.7,1410.6,106,23.9,264.8470964364974,0.47574904534365065,14.0,0.2674215896420759,19.0,0.4246180895571255
pe_470784595,epsilon-restrito,4,28.8,1802.9,31,9.23,1806.524701246404,0.5813536953242837,18.0,0.6967235760835899,4.0,0.4297120235154164
pw_4114543940,soma-ponderada,1,26.8,1600.1,33,15.45,0.2592571528258556,0.22220669506700788,1.0,0.7951370637479432,2.0,0.4303986734453034
pw_422791300,soma-ponderada,1,27.5,1547.9,53,19.26,0.1693814788695363,0.3169277897485351,9.0,0.6230241959974371,6.0,0.429126007472066
pw_628818625,soma-ponderada,5,26.7,1775.7,21,9.41,0.5589839448118967,0.3027062276594418,8.0,0.7636829936235143,3.0,0.4306671322312079
pw_2256233155,soma-ponderada,1,30.0,1453.0,77,22.6,0.12992551199611,0.5867162585252442,19.0,0.3925672285389618,14.0,0.4270257997649074
pe_589439845,epsilon-restrito,3,27.9,1451.4,95,19.75,912.4927801111164,0.3793694424165793,10.0,0.30983008000541506,18.0,0.42509396496888535
pw_2370499670,soma-ponderada,2,26.6,1510.7,74,18.65,0.2142234180536113,0.23048838387544918,2.0,0.45827294633858673,13.0,0.4271247346780661
pw_3270801105,soma-ponderada,4,26.8,1506.0,62,22.86,0.175103570504603,0.237781815226044,3.0,0.5476547842883253,7.0,0.42894327164678386
pe_3157881050,epsilon-restrito,5,28.4,1410.4,91,26.69,455.1129215462514,0.418834841628959,12.0,0.32619103600577876,17.0,0.4265373141552593
pw_1846089325,soma-ponderada,3,29.0,1500.1,69,20.15,0.1283968076041659,0.48561966670321255,15.0,0.4642357921620209,11.0,0.427566183520464
pe_4016814355,epsilon-restrito,1,28.6,1448.2,84,20.44,496.55355694794105,0.43355253813070843,13.0,0.36358768567739425,15.0,0.42610660635499537
pw_414955215,soma-ponderada,5,26.9,1668.4,26,15.26,0.3330097135074318,0.27168232220379707,5.0,0.7955481066384572,1.0,0.4310675788114319
pw_869130810,soma-ponderada,5,29.5,1470.4,69,22.12,0.0765788575994983,0.5251147462382653,16.0,0.46032451767686,12.0,0.4277821500783854
pw_3634258720,soma-ponderada,5,27.3,1516.6,64,19.81,0.2305852983929749,0.2958050018254908,7.0,0.5300516075544036,8.0,0.42817491038085664
